county,year,month,cases,recipients,adult recipients,child recipients,payments,average per case,average per person,avg. recipients per case,ln_cases,ln_recipients,ln_payments,adult_share,child_share
Shiawassee,2022,4,4272.0,8096.0,5059.0,3037.0,1894736.0,443.5243445692884,234.03359683794466,1.895131086142322,8.35983738064003,8.999125391527247,14.4545900728094,0.6248764822134387,0.3751235177865613
Shiawassee,2022,5,4390.0,8320.0,5190.0,3130.0,1907596.0,434.53211845102504,229.2783653846154,1.8952164009111618,8.387084506069217,9.026417533815254,14.461354368528353,0.6237980769230769,0.3762019230769231
Shiawassee,2022,6,4249.0,8054.0,5024.0,3030.0,1895202.0,446.0348317251118,235.31189471070275,1.8955048246646269,8.354438940114811,8.9939241414114,14.454835987123749,0.6237894214055127,0.3762105785944872
Shiawassee,2022,7,4342.0,8279.0,5137.0,3142.0,1953201.0,449.83901427913406,235.9223336151709,1.9067250115154306,8.376090350438238,9.021477467138807,14.484980123149851,0.6204855658896002,0.3795144341103998
Shiawassee,2022,8,4380.0,8304.0,5184.0,3120.0,1967055.0,449.0993150684931,236.88041907514452,1.895890410958904,8.384804003370492,9.024492605405669,14.492048058342766,0.6242774566473989,0.37572254335260113
Shiawassee,2022,9,4371.0,8199.0,5162.0,3037.0,1962932.0,449.08075955159,239.41114770093913,1.8757721345229925,8.382747094863314,9.011767474596178,14.489949831802758,0.6295889742651543,0.3704110257348457
Shiawassee,2023,10,4603.0,8696.0,5399.0,3297.0,1465092.0,318.29067999131,168.47884084636615,1.8892026938952857,8.434463543817241,9.070618428801046,14.197428597096366,0.6208601655933763,0.37913983440662374
Shiawassee,2023,11,4559.0,8615.0,5377.0,3238.0,1456574.0,319.4941873217811,169.07417295414973,1.8896687870146962,8.424858580213442,9.06126014896203,14.191597660819466,0.6241439349970981,0.3758560650029019
Shiawassee,2023,12,4580.0,8619.0,5401.0,3218.0,1465836.0,320.0515283842795,170.07030978071703,1.8818777292576419,8.429454277108231,9.061724347647399,14.19793628613955,0.626638821208957,0.373361178791043
Shiawassee,2024,1,4625.0,8767.0,5487.0,3280.0,1450147.0,313.5452972972973,165.40971826166304,1.8955675675675676,8.439231649946526,9.078749951588586,14.187175488568567,0.6258697387932017,0.3741302612067982
Shiawassee,2024,2,4647.0,8823.0,5522.0,3301.0,1453903.0,312.8691629007962,164.78556046696136,1.8986442866365396,8.443977129084978,9.085117227222105,14.189762222333028,0.6258642185197778,0.37413578148022214
Shiawassee,2024,3,4614.0,8773.0,5495.0,3278.0,1462652.0,317.0030342436064,166.72198791747408,1.901387082791504,8.4368504387337,9.079434102128383,14.195761784311562,0.6263535848626468,0.37364641513735325
Shiawassee,2024,4,4556.0,8666.0,5417.0,3249.0,1440603.0,316.19907813871816,166.23621047772906,1.9021071115013168,8.424200324567073,9.067162602299854,14.180572333900871,0.6250865451188553,0.3749134548811447
Shiawassee,2024,5,4523.0,8580.0,5380.0,3200.0,1423540.0,314.73358390448817,165.91375291375292,1.8969710369223967,8.416930769477844,9.057189192482008,14.168657285059565,0.627039627039627,0.372960372960373
Shiawassee,2024,6,4526.0,8660.0,5398.0,3262.0,1425936.0,315.05435262925323,164.65773672055428,1.9133893062306673,8.417593826193484,9.06647000155648,14.170338998163793,0.6233256351039261,0.3766743648960739
Shiawassee,2024,7,4530.0,8564.0,5374.0,3190.0,1454397.0,321.05894039735097,169.82683325548808,1.8905077262693157,8.41847721847708,9.055322649709574,14.190101939696953,0.6275105091078935,0.3724894908921065
Shiawassee,2024,8,4539.0,8645.0,5400.0,3245.0,1449327.0,319.305353602115,167.64916136495083,1.9046045384445913,8.420462002456466,9.064736398117391,14.186609868720373,0.6246385193753615,0.37536148062463853
Shiawassee,2024,9,4572.0,8714.0,5427.0,3287.0,1468150.0,321.1176727909011,168.48175350011476,1.9059492563429572,8.427706024914702,9.072686206677387,14.199513662773107,0.6227909111774157,0.37720908882258436
Shiawassee,2024,10,4589.0,8817.0,5504.0,3313.0,1491233.0,324.9581608193506,169.13156402404445,1.921333623883199,8.431417414394833,9.084436955087027,14.215113852496929,0.6242486106385392,0.3757513893614608
Shiawassee,2024,11,4584.0,8805.0,5509.0,3296.0,1472785.0,321.2881762652705,167.26689381033503,1.9208115183246073,8.430327258394575,9.083075020930307,14.202665724166904,0.6256672345258376,0.3743327654741624
Shiawassee,2024,12,4608.0,8892.0,5543.0,3349.0,1494982.0,324.4318576388889,168.12663067926226,1.9296875,8.435549202375727,9.092907275084087,14.217624724600661,0.6233693207377418,0.3766306792622582
Shiawassee,2025,1,4643.0,8937.0,5580.0,3357.0,1493660.0,321.70148610811975,167.13214725299318,1.9248330820590136,8.443115988019922,9.097955241381392,14.216740041800765,0.6243705941591138,0.3756294058408862
Shiawassee,2025,2,4697.0,9013.0,5633.0,3380.0,1512045.0,321.91718117947624,167.76267613447243,1.9188843942942304,8.454679286026995,9.10642325855641,14.2289735971835,0.6249861311439032,0.3750138688560967
Shiawassee,2025,3,4662.0,8917.0,5578.0,3339.0,1489333.0,319.46224796224794,167.02175619603005,1.9126984126984128,8.447199819595703,9.095714846134879,14.213838926689307,0.6255467085342604,0.3744532914657396
Shiawassee,2025,4,4620.0,8798.0,5511.0,3287.0,1481682.0,320.7103896103896,168.41122982496023,1.9043290043290044,8.438149984075784,9.082279701908664,14.208688486914896,0.6263923619004319,0.3736076380995681
Shiawassee,2025,5,4597.0,8729.0,5470.0,3259.0,1440607.0,313.37981292147055,165.03688853247795,1.8988470741788124,8.433159195806228,9.07440609473535,14.180575110512086,0.6266468094856227,0.3733531905143774
Shiawassee,2025,6,4604.0,8789.0,5474.0,3315.0,1465511.0,318.31255430060816,166.74377062236886,1.908992180712424,8.434680769841773,9.081256218564645,14.197714545075574,0.6228239845261122,0.3771760154738878
Shiawassee,2025,7,4583.0,8723.0,5448.0,3275.0,1473302.0,321.4710888064586,168.89854407887194,1.9033384246126992,8.430109084509125,9.07371849443322,14.2030166981913,0.6245557720967557,0.3754442279032443
Shiawassee,2025,8,4615.0,8800.0,5470.0,3330.0,1485396.0,321.86262188515707,168.795,1.9068255687973998,8.437067146936952,9.082507000466299,14.211191961336368,0.6215909090909091,0.3784090909090909
Shiawassee,2025,9,4602.0,8767.0,5458.0,3309.0,1480715.0,321.7546718817905,168.89642979354397,1.9050412863972186,8.434246270595311,9.078749951588586,14.208035637189255,0.6225618797764344,0.37743812022356565
Shiawassee,2025,10,4528.0,8577.0,5365.0,3212.0,1484234.0,327.79019434628975,173.0481520345109,1.8942137809187278,8.41803561988302,9.056839480990421,14.210409372219672,0.6255100851113443,0.3744899148886557
Shiawassee,2025,11,4477.0,8474.0,5324.0,3150.0,1463203.0,326.82666964485145,172.66969553929667,1.8927853473308018,8.406708458240965,9.044757931186505,14.196138426357402,0.6282747226811424,0.3717252773188577
Shiawassee,2025,12,4466.0,8454.0,5323.0,3131.0,1446930.0,323.9879086430811,171.15330021291697,1.8929690998656516,8.404248432400102,9.042394981126735,14.184954628493225,0.6296427726519991,0.370357227348001
St. Clair,2014,10,13759.0,26297.0,16114.0,10183.0,3313435.0,240.81946362380987,126.00049435296802,1.9112580856166872,9.529448434427817,10.177210143218492,15.013495973598527,0.6127695174354489,0.3872304825645511
St. Clair,2014,11,13766.0,26223.0,16113.0,10110.0,3275731.0,237.95808513729477,124.91823971322884,1.9049106494261223,9.52995706295831,10.174392167248598,15.002051608251582,0.6144605880334058,0.3855394119665942
St. Clair,2014,12,13759.0,26208.0,16103.0,10105.0,3239637.0,235.45584708191004,123.61252289377289,1.9047895922668798,9.529448434427817,10.173819986652797,14.990971844454858,0.6144307081807082,0.38556929181929184
St. Clair,2015,1,13731.0,26240.0,16087.0,10153.0,3192399.0,232.49573956740224,121.66154725609756,1.9110042968465517,9.527411329321751,10.175040243058024,14.976283229739987,0.6130716463414634,0.38692835365853656
St. Clair,2015,2,13718.0,26173.0,16075.0,10098.0,3197321.0,233.07486514069106,122.16104382378788,1.9079311853039802,9.526464118059266,10.172483624032427,14.977823829632786,0.6141825545409392,0.3858174454590609
St. Clair,2015,3,13716.0,26144.0,16063.0,10081.0,3186383.0,232.31138815981336,121.8781747246022,1.9060950714494023,9.526318313582811,10.17137499765973,14.974396975660849,0.6144048347613219,0.3855951652386781
St. Clair,2015,4,13659.0,25981.0,15976.0,10005.0,3161404.0,231.45208287575957,121.68138254878565,1.9021158210703566,9.522153924002891,10.165120780630861,14.966526790686856,0.6149108964243101,0.38508910357568993
St. Clair,2015,5,13506.0,25548.0,15738.0,9810.0,3122389.0,231.18532504072263,122.21657272584937,1.891603731674811,9.510889310134788,10.14831431468148,14.954108971911259,0.6160169093471113,0.38398309065288866
St. Clair,2015,6,13398.0,25260.0,15588.0,9672.0,3062197.0,228.55627705627705,121.22711797307997,1.8853560232870579,9.502860721068213,10.136977395904482,14.934643190164845,0.6171021377672209,0.3828978622327791
